"code";"label"
"RheesSuDoc";"Government Documents--SuDoc Collection Rhees 2nd Floor"
"DocSuDoc";"Government Documents--SuDoc Collection Rhees 2nd floor"
"DocOversze";"Government Documents--SuDoc Oversize Rhees 2nd floor"
"HighBooks";"Highland Lib Circulating Book Collection"
"HighConHea";"Highland Lib Consumer Health Collection"
"HighLibn";"Highland Lib Librarian's Office"
"HighRef";"Highland Lib Reference Collection"
"HighAcq";"Highland Library Acquisitions"
"SelectPick";"I will pick this up at:"
"ILLCirc";"ILL Circulation Desk"
"KCRef";"Koller-Collins Center Reference Rhees 416"
"KCEngl";"Koller-Collins Center Rhees 416 (Non-circulating)"
"KCOversize";"Koller-Collins Oversize Rhees 416 (Non-circulating)"
"LLE Stack";"LLE Books: To obtain click ""Place Requests"" or call 275-4479"
"LLECirc";"LLE Circulation Desk"
"LLECirProc";"LLE Circulation Processing"
"LLEStack";"LLE Library Circulating Books 2nd Floor"
"LLE Per";"LLE Library Journals, Shelved by title"
"LLE Ref";"LLE Library Reference 2nd Floor"
"LLE Off";"LLE Library Staff Use Only"
"LLE Soft";"LLE Software"
"MAGacq";"MAG Acquisitions Department"
"MgtAnnRpts";"Management Library Annual Reports Rhees 3rd Floor"
"MgtCirc";"Management Library Circulation Desk Rhees 3rd Floor"
"MgtCirProc";"Management Library Circulation Processing"
"MgtIndex";"Management Library Index Case Rhees 3rd Floor"
"MgtPer";"Management Library Periodicals Rhees 3rd Floor"
"MgtRedRef";"Management Library Ready Reference Rhees 3rd Floor"
"MgtVert";"Management Library Reference Rhees 3rd Floor"
"MgtRef";"Management Library Reference Rhees 3rd Floor"
"MgtResDsk";"Management Library Reserve Desk"
"MgtRes";"Management Library Reserves Rhees 3rd Floor"
"MgtTest";"Management Library Test File Rhees 3rd Floor"
"MgtWorkPap";"Management Library Working Papers Rhees 3rd Floor"
"AtlasCase";"Map Center Atlas Case Rhees G122"
"MedCtrDel";"Med Ctr Office Delivery"
"MAGJuv";"Memorial Art Gallery Library  Juvenile"
"MAGArchv";"Memorial Art Gallery Library Archives"
"MAGAuctn";"Memorial Art Gallery Library Auction Reference"
"MAGCage";"Memorial Art Gallery Library Cage"
"MAGCirc";"Memorial Art Gallery Library Circulation Desk"
"MAGFolio";"Memorial Art Gallery Library Folio"
"MAGIndex";"Memorial Art Gallery Library Indexes"
"MAGMulti";"Memorial Art Gallery Library Multimedia"
"MAGMus";"Memorial Art Gallery Library Museology"
"MAGOffice";"Memorial Art Gallery Library Office"
"MAGOsize";"Memorial Art Gallery Library Oversize"
"MAGPer";"Memorial Art Gallery Library Periodicals"
"MAGRef";"Memorial Art Gallery Library Reference"
"MAGRes";"Memorial Art Gallery Library Reserves"
"MAGStack";"Memorial Art Gallery Library Stacks"
"MCS Off";"Microcomputer Services Office Rhees"
"DocMicRef";"Microtext Center Reference Rhees 2nd Floor"
"RheesMicro";"Microtext Center Rhees 2nd Floor"
"DocMicro";"Microtext Center Rhees 2nd floor"
"MinerAcq";"Miner Lib Acquisitions Unit"
"MinerAdmOf";"Miner Lib Administration Office"
"MinerStack";"Miner Lib Books Upper Level Stacks"
"MinReview";"Miner Lib Cataloging Review"
