"code";"label"
"MinerDigit";"Medical Center Libraries"
"BibbyRare";"Medical Center Libraries"
"BibbyRef";"Medical Center Libraries"
"BibbyThes";"Medical Center Libraries"
"BibbyNewBk";"Medical Center Libraries"
"BibbyCirc";"Medical Center Libraries"
"BibbyClJnl";"Medical Center Libraries"
"BibbyClRes";"Medical Center Libraries"
"BibbyOpJnl";"Medical Center Libraries"
"BibbyOpRes";"Medical Center Libraries"
"CancerCtr";"Medical Center Libraries"
"Miner ERes";"Medical Center Libraries"
"HighConHea";"Medical Center Libraries"
"HighAcq";"Medical Center Libraries"
"HighSer";"Medical Center Libraries"
"HighBooks";"Medical Center Libraries"
"HighLibn";"Medical Center Libraries"
"HighRef";"Medical Center Libraries"
"MinerSeria";"Medical Center Libraries"
"MinOffsite";"Medical Center Libraries"
"MinerEd";"Medical Center Libraries"
"MinerGovDc";"Medical Center Libraries"
"MinerHstRf";"Medical Center Libraries"
"MinerHist";"Medical Center Libraries"
"MinerNet";"Medical Center Libraries"
"MinerILL";"Medical Center Libraries"
"MinerSer";"Medical Center Libraries"
"MinerSer2";"Medical Center Libraries"
"MinerLrnCt";"Medical Center Libraries"
"MinerMicro";"Medical Center Libraries"
"MinerNewBk";"Medical Center Libraries"
"MinerRes";"Medical Center Libraries"
"MinerFolio";"Medical Center Libraries"
"MinerRSer";"Medical Center Libraries"
"MinerRare";"Medical Center Libraries"
"MinerRdRm";"Medical Center Libraries"
"MinerRef1";"Medical Center Libraries"
"MinerRef10";"Medical Center Libraries"
"MinerRef11";"Medical Center Libraries"
"MinerRef12";"Medical Center Libraries"
"MinerRef13";"Medical Center Libraries"
"MinerRef14";"Medical Center Libraries"
"MinerRef15";"Medical Center Libraries"
"MinerRef16";"Medical Center Libraries"
"MinerRef17";"Medical Center Libraries"
"MinerRef18";"Medical Center Libraries"
"MinerRef19";"Medical Center Libraries"
"MinerRef2";"Medical Center Libraries"
"MinerRef20";"Medical Center Libraries"
"MinerRef21";"Medical Center Libraries"
"MinerRef3";"Medical Center Libraries"
"MinerRef4";"Medical Center Libraries"
"MinerRef5";"Medical Center Libraries"
"MinerRef6";"Medical Center Libraries"
"MinerRef7";"Medical Center Libraries"
"MinerRf7.5";"Medical Center Libraries"
"MinerRef8";"Medical Center Libraries"
"MinerRef9";"Medical Center Libraries"
"MinerRefBr";"Medical Center Libraries"
"MinerRefOf";"Medical Center Libraries"
"MinerStor";"Medical Center Libraries"
"MinerSTS";"Medical Center Libraries"
"MinerTh1";"Medical Center Libraries"
"MinerTh2";"Medical Center Libraries"
"MinerWebSr";"Medical Center Libraries"
"MAGOsize";"Memorial Art Gallery"
"MAGacq";"Memorial Art Gallery"
"MAGJuv";"Memorial Art Gallery"
"MAGStack";"Memorial Art Gallery"
"MAGArchv";"Memorial Art Gallery"
"MAGAuctn";"Memorial Art Gallery"
"MAGCage";"Memorial Art Gallery"
"MAGCirc";"Memorial Art Gallery"
